fod,year,final_re,N_ID
0,2013,1,5546
0,2013,2,279
0,2013,3,25
0,2013,4,531
0,2013,5,40
0,2014,1,7984
0,2014,2,459
0,2014,3,37
0,2014,4,827
0,2014,5,77
0,2015,1,9529
0,2015,2,604
0,2015,3,49
0,2015,4,1129
0,2015,5,114
0,2016,1,10938
0,2016,2,732
0,2016,3,42
0,2016,4,1438
0,2016,5,112
0,2017,1,10791
0,2017,2,910
0,2017,3,65
0,2017,4,1486
0,2017,5,137
0,2018,1,10173
0,2018,2,926
0,2018,3,60
0,2018,4,1679
0,2018,5,140
0,2019,1,9246
0,2019,2,1038
0,2019,3,58
0,2019,4,1732
0,2019,5,141
0,2020,1,8678
0,2020,2,1079
0,2020,3,49
0,2020,4,1602
0,2020,5,132
0,2021,1,8270
0,2021,2,1188
0,2021,3,83
0,2021,4,1654
0,2021,5,132
1,2013,1,819
1,2013,2,38
1,2013,3,-1
1,2013,4,63
1,2013,5,-1
1,2014,1,1129
1,2014,2,53
1,2014,3,-1
1,2014,4,110
1,2014,5,-1
1,2015,1,1438
1,2015,2,82
1,2015,3,-1
1,2015,4,140
1,2015,5,14
1,2016,1,1691
1,2016,2,89
1,2016,3,-1
1,2016,4,223
1,2016,5,27
1,2017,1,1575
1,2017,2,116
1,2017,3,-1
1,2017,4,214
1,2017,5,19
1,2018,1,1595
1,2018,2,94
1,2018,3,16
1,2018,4,226
1,2018,5,21
1,2019,1,1557
1,2019,2,130
1,2019,3,-1
1,2019,4,245
1,2019,5,-1
1,2020,1,1528
1,2020,2,212
1,2020,3,16
1,2020,4,278
1,2020,5,25
1,2021,1,1687
1,2021,2,216
1,2021,3,13
1,2021,4,302
1,2021,5,26
