"year","agegrp","estimate","ui","li","N_ID","total_est","total_ui","total_li"
2015,"1_20",13478.9388438617,18218.719985076,10095.5490608852,3445,16923.9388438617,21663.719985076,13540.5490608852
2016,"1_20",8601.62323166519,11007.604531855,6760.53613833479,3081,11682.6232316652,14088.604531855,9841.53613833479
2017,"1_20",9984.86127801305,13293.252547961,7555.85616910064,2710,12694.861278013,16003.252547961,10265.8561691006
2018,"1_20",9129.83759248457,11990.0430794256,6997.29862120698,2318,11447.8375924846,14308.0430794256,9315.29862120698
2019,"1_20",5897.75265649846,7549.19116490841,4642.9932007662,2017,7914.75265649846,9566.19116490841,6659.9932007662
2020,"1_20",6851.16569395226,9354.99839585854,5051.90795159319,1869,8720.16569395226,11223.9983958585,6920.90795159319
2021,"1_20",8573.47010850721,11826.2889391758,6271.77039197161,1869,10442.4701085072,13695.2889391758,8140.77039197161
2015,"21_40",42441.3864227751,46094.7140183285,39102.1431166351,63535,105976.386422775,109629.714018329,102637.143116635
2016,"21_40",40317.5241654978,43508.8717832394,37379.8790141929,64868,105185.524165498,108376.871783239,102247.879014193
2017,"21_40",43157.641345888,46564.9858422291,40020.85718236,64666,107823.641345888,111230.985842229,104686.85718236
2018,"21_40",42769.8128795102,46050.261716778,39742.6844437124,62227,104996.81287951,108277.261716778,101969.684443712
2019,"21_40",42248.7369649165,45762.5239096534,39030.5168132938,59572,101820.736964916,105334.523909653,98602.5168132938
2020,"21_40",35910.7557307257,39183.2973015902,32938.5690658014,54908,90818.7557307257,94091.2973015902,87846.5690658014
2021,"21_40",39947.8216474956,44110.152821402,36224.1125871067,52320,92267.8216474956,96430.152821402,88544.1125871067
2015,"41_60",45578.7800930573,52447.7301646995,39728.1386874428,41180,86758.7800930573,93627.7301646995,80908.1386874428
2016,"41_60",45627.2031440626,50879.2480755065,40980.3263110481,42687,88314.2031440626,93566.2480755065,83667.3263110481
2017,"41_60",45359.1745411001,50392.213872424,40884.423784772,45421,90780.1745411001,95813.213872424,86305.423784772
2018,"41_60",40638.3368564649,45139.8958321228,36632.5014433416,46073,86711.3368564649,91212.8958321228,82705.5014433416
2019,"41_60",45691.8391123457,50349.0141974786,41512.5066015324,48446,94137.8391123457,98795.0141974786,89958.5066015324
2020,"41_60",44892.5276071488,50311.0465145151,40126.5038135308,47622,92514.5276071488,97933.0465145151,87748.5038135308
2021,"41_60",50946.0836878642,56395.4022346242,46086.0559629389,49864,100810.083687864,106259.402234624,95950.0559629389
2015,"61_80",11234.8850617821,13449.4929846861,9412.39507235559,7446,18680.8850617821,20895.4929846861,16858.3950723556
2016,"61_80",9950.89265074019,11628.0870267726,8528.24442337063,8585,18535.8926507402,20213.0870267726,17113.2444233706
2017,"61_80",18670.0458720843,24176.9304841235,14545.13291289,10032,28702.0458720843,34208.9304841235,24577.13291289
2018,"61_80",15365.0414246318,19448.6819183704,12211.3784882879,11280,26645.0414246318,30728.6819183704,23491.3784882879
2019,"61_80",15302.9781126196,17411.3831622515,13462.6681960143,13128,28430.9781126196,30539.3831622515,26590.6681960143
2020,"61_80",14212.1798304295,16150.7481761864,12514.6245702264,13833,28045.1798304295,29983.7481761864,26347.6245702264
2021,"61_80",20773.2512453784,25619.1474734275,16932.3673008017,15995,36768.2512453784,41614.1474734275,32927.3673008017
2015,"81+",725.311355460376,2126.55499984762,256.352001970553,609,1334.31135546038,2735.55499984762,865.352001970553
2016,"81+",263.88888888891,563.96376231686,116.63067188255,622,885.88888888891,1185.96376231686,738.63067188255
2017,"81+",423.999999999997,1038.26977407775,173.144049088207,595,1019,1633.26977407775,768.144049088207
2018,"81+",340.625000000001,646.113132209783,173.938224614546,731,1071.625,1377.11313220978,904.938224614546
2019,"81+",322.272727272728,665.450623474119,145.491688313432,884,1206.27272727273,1549.45062347412,1029.49168831343
2020,"81+",722.999999999998,2604.72102590477,200.684201636742,905,1628,3509.72102590477,1105.68420163674
2021,"81+",458.718046000302,745.150963340399,276.10387406729,945,1403.7180460003,1690.1509633404,1221.10387406729
