"year","race","estimate","ui","li","N_ID","total_est","total_ui","total_li"
2015,"white",106552.781868326,115289.229168369,98567.0314468831,97005,203557.781868326,212294.229168369,195572.031446883
2016,"white",88598.6729943521,94383.6005186657,83207.5226693177,98963,187561.672994352,193346.600518666,182170.522669318
2017,"white",93215.2075559121,99370.210202722,87481.4630975342,100795,194010.207555912,200165.210202722,188276.463097534
2018,"white",92552.7488560576,98482.6919910556,87016.654053869,99714,192266.748856058,198196.691991056,186730.654053869
2019,"white",94668.0806973775,101646.23169756,88228.9111649995,99809,194477.080697378,201455.23169756,188037.911165
2020,"white",88826.9540637927,95111.1000818215,83004.5239519764,95301,184127.954063793,190412.100081821,178305.523951976
2021,"white",102493.477368495,110260.436297593,95342.757830505,95774,198267.477368495,206034.436297593,191116.757830505
2015,"black",14142.4046517778,19736.9973385696,10326.205784965,6039,20181.4046517778,25775.9973385696,16365.205784965
2016,"black",13799.8562062947,19256.5378927223,10076.4533877739,6589,20388.8562062947,25845.5378927223,16665.4533877739
2017,"black",10860.6994164365,14236.9872081613,8375.21971745087,7216,18076.6994164365,21452.9872081613,15591.2197174509
2018,"black",8293.50893265946,10489.6612434727,6598.86770483546,7245,15538.5089326595,17734.6612434727,13843.8677048355
2019,"black",12116.9946999366,16167.4328599351,9200.60992091882,7868,19984.9946999366,24035.4328599351,17068.6099209188
2020,"black",11494.9471454545,15385.6098863312,8689.08565231438,7602,19096.9471454545,22987.6098863312,16291.0856523144
2021,"black",10702.8365688269,14017.082348268,8256.66664543455,8123,18825.8365688269,22140.082348268,16379.6666454346
2015,"asianpi",167.752800194514,250.003866041868,111.128491244486,441,608.752800194514,691.003866041868,552.128491244486
2016,"asianpi",155.317628080344,230.439480692107,103.235818222101,450,605.317628080344,680.439480692107,553.235818222101
2017,"asianpi",68.2579167147235,95.4313179250432,47.9817235183905,476,544.257916714723,571.431317925043,523.98172351839
2018,"asianpi",100.296115608962,134.107098217565,74.1447841331968,480,580.296115608962,614.107098217565,554.144784133197
2019,"asianpi",248.373948326302,586.274441427896,111.291889500028,481,729.373948326302,1067.2744414279,592.291889500028
2020,"asianpi",86.9245402534536,119.452787102142,62.4237341532405,468,554.924540253454,587.452787102142,530.423734153241
2021,"asianpi",139.504978744715,221.690009412494,85.4068875990742,541,680.504978744715,762.690009412494,626.406887599074
2015,"hispanic",13812.2379638979,17413.0483400006,11042.5542913794,11400,25212.2379638979,28813.0483400006,22442.5542913794
2016,"hispanic",15934.8984589495,20010.2726391804,12796.5755228044,12440,28374.8984589495,32450.2726391804,25236.5755228044
2017,"hispanic",14753.2069504474,17933.2991247718,12196.5057385028,13516,28269.2069504474,31449.2991247718,25712.5057385028
2018,"hispanic",13847.5457433111,16426.0888919958,11710.8031890674,13706,27553.5457433111,30132.0888919958,25416.8031890674
2019,"hispanic",14936.1162403438,17821.1652343206,12567.9731765863,14329,29265.1162403438,32150.1652343206,26896.9731765863
2020,"hispanic",17966.0488273775,21741.3867593578,14930.3035382361,14276,32242.0488273775,36017.3867593578,29206.3035382361
2021,"hispanic",14382.324632711,17698.8215403893,11759.0033214802,15015,29397.324632711,32713.8215403893,26774.0033214802
2015,"aiother",2115.48032740444,3524.52333207197,1310.26538033932,1330,3445.48032740444,4854.52333207197,2640.26538033932
2016,"aiother",1425.99257824227,2073.38563989098,992.211752039235,1401,2826.99257824227,3474.38563989098,2393.21175203923
2017,"aiother",1593.85263687373,3377.90803797457,808.72040716863,1421,3014.85263687373,4798.90803797457,2229.72040716863
2018,"aiother",2060.87650040275,3059.81479634644,1419.70908774232,1484,3544.87650040275,4543.81479634644,2903.70908774232
2019,"aiother",4506.69503401428,9699.24005594945,2278.14081717691,1560,6066.69503401428,11259.2400559494,3838.14081717691
2020,"aiother",1898.59108092486,2839.96459015119,1288.66852638743,1490,3388.59108092486,4329.96459015119,2778.66852638743
2021,"aiother",1472.84852927536,2221.12032519051,994.034988660515,1540,3012.84852927536,3761.12032519051,2534.03498866051
