"year","sex","est","lower_ci","upper_ci","est_total","est_lower","est_upper","N_ID"
2015,"male",76281.8942394757,70678.2552363812,82391.3083115096,146469.894239477,140866.255236381,152579.30831151,70188
2016,"male",69238.4623874238,64674.5660828814,74167.3310260981,142010.462387425,137446.566082881,146939.331026098,72772
2017,"male",74739.2033047988,69891.992364755,79962.9296054141,149301.203304799,144453.992364756,154524.929605415,74562
2018,"male",73723.0056687939,69081.9342194584,78711.7284986081,147835.005668794,143193.934219458,152823.728498609,74112
2019,"male",80715.1511309706,75270.3606275164,86610.0787239154,155703.151130971,150258.360627516,161598.078723915,74988
2020,"male",73333.3499091852,68353.6651001691,78723.1979547973,145509.349909185,140529.665100168,150899.197954798,72176
2021,"male",84480.4823561384,78305.3339419598,91216.615469661,157781.482356138,151606.33394196,164517.61546966,73301
2015,"female",43449.8539382894,38510.2462567011,49128.4981901913,89476.8539382895,84537.246256701,95155.4981901913,46027
2016,"female",44898.5472932215,39910.7609050428,50621.3423361811,91969.5472932216,86981.7609050428,97692.3423361808,47071
2017,"female",46339.7933637087,41208.5462310843,52215.4087663106,95201.7933637082,90070.5462310851,101077.408766311,48862
2018,"female",42754.2316751517,38353.7398869112,47731.7491755915,91271.2316751516,86870.7398869115,96248.7491755914,48517
2019,"female",42942.1329397653,38255.2098039194,48290.1656294631,92001.1329397658,87314.2098039192,97349.1656294642,49059
2020,"female",41358.7164171189,36644.9993132268,46772.0097531892,88319.7164171192,83605.9993132268,93733.0097531895,46961
2021,"female",43275.5797536824,38096.3247931762,49276.6241059493,90967.5797536827,85788.3247931762,96968.6241059493,47692
